name,phoneNumber,amount,operatorName,countryCode
Caroline Alvarez,25475505756,488,Telkom Kenya,KE
Joseph Harris,25470407870,290,Airtel Kenya,KE
Joe Smith,25470817951,145,Airtel Kenya,KE
David Yang,25475197136,215,Airtel Kenya,KE
Jessica Chang,25473757739,312,Safaricom Kenya,KE
Patricia Luna,25476964808,325,Safaricom Kenya,KE
Eric Powell,25473393035,343,Telkom Kenya,KE
Isabella Paul,25474507497,61,Safaricom Kenya,KE
Claudia Jones,25478720668,499,Safaricom Kenya,KE
Jason Robinson,25476721108,111,Airtel Kenya,KE
Christian Johnson,25474209060,276,Telkom Kenya,KE
Ronald Adams,25476305041,153,Safaricom Kenya,KE
Tammy Taylor,25478207448,340,Telkom Kenya,KE
Daniel Walker,25479730103,362,Airtel Kenya,KE
Dr. Tonya Fry,25479183949,121,Airtel Kenya,KE
Lori Heath,25470948245,485,Telkom Kenya,KE
Brian Edwards,25479752427,282,Airtel Kenya,KE
Jennifer Gomez,25479310661,128,Airtel Kenya,KE
Stephen Wright,25476254298,192,Airtel Kenya,KE
Dana Garner,25476776298,445,Airtel Kenya,KE
Gary Mccoy,25470715304,146,Safaricom Kenya,KE
Douglas Hall,25474854759,100,Telkom Kenya,KE
Joseph Padilla,25477490345,450,Airtel Kenya,KE
Lisa Maldonado,25478211969,310,Telkom Kenya,KE
Amanda Murphy,25472517463,497,Airtel Kenya,KE
David Ward,25475168231,175,Airtel Kenya,KE
Dean Leblanc,25471266880,379,Safaricom Kenya,KE
Bryan Byrd,25479200015,322,Telkom Kenya,KE
Brandon Reeves,25472259887,53,Telkom Kenya,KE
Deanna Daugherty,25471570959,425,Telkom Kenya,KE
Shelia Edwards,25478576702,145,Telkom Kenya,KE
Heidi Leonard,25470796978,266,Telkom Kenya,KE
Tyler Green,25472635678,297,Telkom Kenya,KE
Jennifer Mendoza,25472999322,161,Telkom Kenya,KE
Megan Martin,25477655542,205,Telkom Kenya,KE
Seth Stokes,25475215025,90,Airtel Kenya,KE
Samantha Hoover,25477367253,500,Safaricom Kenya,KE
Daniel Gentry,25470740136,104,Airtel Kenya,KE
Angelica Hunt,25474243412,386,Telkom Kenya,KE
Timothy Campbell,25473125645,246,Telkom Kenya,KE
Cathy Gordon,25472990712,322,Telkom Kenya,KE
Valerie Mendez,25479187784,322,Airtel Kenya,KE
Marilyn Pacheco,25474627044,220,Telkom Kenya,KE
Aaron Lewis,25475591290,401,Airtel Kenya,KE
Martha Maxwell,25477896959,340,Airtel Kenya,KE
Richard Ford,25475851003,388,Airtel Kenya,KE
Johnny Becker,25471888887,194,Safaricom Kenya,KE
Susan Clark,25476563752,124,Airtel Kenya,KE
Mary Roach,25474460972,343,Safaricom Kenya,KE
Paul Dawson,25478767207,403,Safaricom Kenya,KE
Joseph Parker,25474192487,398,Telkom Kenya,KE
Hannah Sims,25476129922,249,Airtel Kenya,KE
Brenda Alvarado,25477570887,320,Telkom Kenya,KE
Barbara Robinson,25479525290,459,Safaricom Kenya,KE
Eugene Ware,25472107051,186,Telkom Kenya,KE
Mary Shannon,25473911561,453,Telkom Kenya,KE
Bryan Hendrix,25476301961,473,Telkom Kenya,KE
Carla Gutierrez,25478351228,428,Airtel Kenya,KE
Kyle Baker,25475833472,148,Telkom Kenya,KE
Kimberly Williams,25474917366,371,Telkom Kenya,KE
Heather Bean,25471136574,479,Airtel Kenya,KE
Jeffrey Duncan,25474845651,197,Airtel Kenya,KE
William Adams,25479639723,321,Safaricom Kenya,KE
Nathan Wilson,25471280659,112,Airtel Kenya,KE
Kathleen Jackson,25478999215,268,Airtel Kenya,KE
Jacqueline Harris,25478376516,136,Airtel Kenya,KE
Christian Thomas,25473826431,77,Airtel Kenya,KE
Laura Santana,25477255719,414,Telkom Kenya,KE
Jamie Perkins,25471689898,91,Telkom Kenya,KE
Rodney Mccullough,25473775416,244,Airtel Kenya,KE
Mary Tucker,25473192445,84,Telkom Kenya,KE
Gerald Adams,25476968284,275,Airtel Kenya,KE
Jennifer Fitzgerald,25478389483,433,Telkom Kenya,KE
Leah Smith,25470976804,459,Telkom Kenya,KE
Daniel Harris,25474306593,200,Safaricom Kenya,KE
Matthew Lucas,25476341623,114,Safaricom Kenya,KE
Renee Williams,25479397120,451,Safaricom Kenya,KE
Renee Williams,25472384069,354,Safaricom Kenya,KE
Morgan Donaldson,25478198979,237,Airtel Kenya,KE
Brittany Mccall,25471424915,213,Telkom Kenya,KE
Sara Clark,25473681513,271,Safaricom Kenya,KE
John Smith,25474446506,228,Telkom Kenya,KE
Laura Baker,25473267837,239,Airtel Kenya,KE
Michelle Sanchez,25474630240,374,Airtel Kenya,KE
Kelly Nielsen,25471719497,446,Airtel Kenya,KE
Curtis Wright,25471157390,332,Safaricom Kenya,KE
Lonnie Hunt,25472968079,189,Telkom Kenya,KE
William Baldwin,25477163536,182,Safaricom Kenya,KE
Scott Yoder,25476196712,292,Telkom Kenya,KE
Kelly Long,25477678427,117,Airtel Kenya,KE
Debbie Parker,25475611302,282,Airtel Kenya,KE
Jennifer Russell,25474443265,352,Telkom Kenya,KE
James Miller DDS,25471586472,393,Safaricom Kenya,KE
Christina Gallagher,25473744129,426,Telkom Kenya,KE
Denise Crawford,25479478936,137,Telkom Kenya,KE
Katie Robinson,25477486093,131,Telkom Kenya,KE
Meghan Bishop,25478168470,333,Airtel Kenya,KE
Tina Faulkner,25476232630,376,Telkom Kenya,KE
Randy Cole,25470735124,497,Telkom Kenya,KE
Gregory Rodriguez PhD,25471630699,66,Airtel Kenya,KE
Brett Shelton,25472829523,149,Telkom Kenya,KE
Frank Riddle,25473571346,148,Telkom Kenya,KE
Gregory Charles,25472341508,195,Safaricom Kenya,KE
David Berry,25470507452,68,Airtel Kenya,KE
Amy Garrett,25476601516,50,Airtel Kenya,KE
Stephen Phillips,25476423694,219,Telkom Kenya,KE
Patricia Delgado,25478542701,309,Telkom Kenya,KE
Kathleen Mullins,25479545796,194,Safaricom Kenya,KE
Dr. Cynthia Ford,25475418801,398,Safaricom Kenya,KE
Michael Olson,25476752862,151,Airtel Kenya,KE
Jaclyn Roberts,25476535266,126,Telkom Kenya,KE
Laura Henry,25472436373,137,Safaricom Kenya,KE
Randy Jones,25473391559,347,Airtel Kenya,KE
Elizabeth Serrano,25473911102,453,Safaricom Kenya,KE
Brittany Gibson,25470325551,242,Telkom Kenya,KE
Linda Woodward,25478933912,125,Telkom Kenya,KE
Joseph Stevens,25475394603,388,Telkom Kenya,KE
Donna Williams,25474385100,161,Safaricom Kenya,KE
Lisa Cook,25478667195,289,Telkom Kenya,KE
Ellen Alvarado,25470860095,481,Safaricom Kenya,KE
Sean Beck,25474771293,403,Telkom Kenya,KE
Christine Braun,25475690678,142,Airtel Kenya,KE
Thomas Morris,25476640237,291,Airtel Kenya,KE
Becky Dawson,25474385690,188,Airtel Kenya,KE
Barbara Smith,25479743049,94,Airtel Kenya,KE
Greg Garcia,25472126848,127,Safaricom Kenya,KE
Matthew Moreno,25476113109,311,Safaricom Kenya,KE
Jennifer Peterson,25474981684,101,Telkom Kenya,KE
Walter Luna,25470538749,449,Safaricom Kenya,KE
Lauren Harrington,25471769332,106,Safaricom Kenya,KE
Charles James,25479992661,483,Safaricom Kenya,KE
Sergio Hunt,25474900974,406,Airtel Kenya,KE
Rachel Young,25470612336,273,Telkom Kenya,KE
Valerie Dixon,25479100670,142,Safaricom Kenya,KE
Joseph Thomas,25474320770,189,Airtel Kenya,KE
Renee Lyons,25476994473,157,Safaricom Kenya,KE
Mr. Frank Blake,25474500580,258,Telkom Kenya,KE
Timothy Fox,25478639634,85,Airtel Kenya,KE
Ralph Blair,25476975183,69,Airtel Kenya,KE
Mr. Jared Singleton,25477477521,126,Telkom Kenya,KE
Kevin Harrison,25479746269,250,Safaricom Kenya,KE
Sean Hammond,25476502154,124,Safaricom Kenya,KE
Carrie Lawson,25472194444,117,Safaricom Kenya,KE
Renee Owen,25470589784,272,Airtel Kenya,KE
Jennifer Vaughn,25472174664,153,Safaricom Kenya,KE
Carla Smith,25474627831,93,Safaricom Kenya,KE
Ronnie Silva,25471908904,449,Telkom Kenya,KE
Anthony Mcdonald,25471168640,197,Telkom Kenya,KE
Brittany Stewart,25470117370,214,Safaricom Kenya,KE
Joanna Hanson,25471343543,368,Airtel Kenya,KE
Courtney Avery,25475125590,315,Airtel Kenya,KE
