name,phone,amount,branch,operator
John Doe,254712345678,50,Head office,Safaricom
Jane Wanjiku,254701234567,200,Kiambu,Airtel
Peter Kamau,254798765432,1000,Limuru,Safaricom
Mary Njeri,254740112233,150,Githunguri,Safaricom
James Mwangi,254711223344,3000,Kiriita,Airtel
Lucy Wambui,254722334455,500,Kagwe,Safaricom
Samuel Mbugua,254733445566,80,Kikuyu,Airtel
Ann Njoki,254744556677,400,Wangige,Safaricom
Brian Maina,254755667788,900,Banana,Airtel
Grace Njoroge,254766778899,600,Mai mahiu,Safaricom
Paul Njenga,254777889900,100,Suswa,Airtel
Mercy Wairimu,254788990011,750,Gikomba,Safaricom
David Kariuki,254799001122,850,Ruaka,Airtel
Catherine Muthoni,254710112233,1200,Wakimbo,Safaricom
George Ndirangu,254721223344,2000,Gikambura,Airtel
